2025-08-05T19:15:44+02:00 [ERROR] Failed to create photo record: {"code":"USER_NOT_FOUND","message":"\u041f\u043e\u043b\u044c\u0437\u043e\u0432\u0430\u0442\u0435\u043b\u044c \u043d\u0435 \u043d\u0430\u0439\u0434\u0435\u043d"}
2025-08-05T19:19:50+02:00 [ERROR] CarController: addCarToGarage error | Context: {"error":"Illegal offset type","user_id":639}
2025-08-05T19:23:57+02:00 [ERROR] CarController: checkCarInClub error | Context: {"error":"Illegal offset type","user_id":639}
2025-08-05T19:24:08+02:00 [ERROR] CarController: checkCarInClub error | Context: {"error":"Illegal offset type","user_id":639}
2025-08-05T19:24:31+02:00 [ERROR] CarController: checkCarInClub error | Context: {"error":"Illegal offset type","user_id":639}
2025-08-05T19:31:13+02:00 [ERROR] CarController: addCarToGarage error | Context: {"error":"Illegal offset type","user_id":639}
2025-08-05T19:34:01+02:00 [ERROR] CarController: addCarToGarage error | Context: {"error":"Illegal offset type","user_id":639}
2025-08-05T19:44:27+02:00 [ERROR] CarController: addCarToGarage error | Context: {"error":"Illegal offset type","user_id":639}
2025-08-05T19:48:41+02:00 [ERROR] CarController: addCarToGarage error | Context: {"error":"Illegal offset type","user_id":639}
2025-08-05T19:51:21+02:00 [ERROR] CarController: checkCarInClub error | Context: {"error":"Illegal offset type","user_id":639}
2025-08-05T19:54:45+02:00 [ERROR] IntegrationHelper::recognizePlateNumberFromBase64 failed: Номер автомобиля не найден на изображении
2025-08-05T19:54:45+02:00 [ERROR] RecognizeCarNumberFromPhotoAction::handleFromBase64 failed: Не удалось распознать номер автомобиля: Номер автомобиля не найден на изображении
