Категория;Функция;Мин. роль;external;guest;user;member;moderator;admin
Пользователи;Список пользователей;member;Нет;Нет;Нет;Да;Да;Да
Пользователи;Профиль текущего (GET);guest;Нет;Да;Да;Да;Да;Да
Пользователи;Обновить свой профиль (POST);guest;Нет;Да;Да;Да;Да;Да
Пользователи;Создать пользователя (POST);admin;Нет;Нет;Нет;Нет;Нет;Да
Автомобили;Список авто;user;Нет;Нет;Да;Да;Да;Да
Автомобили;Авто по id;member;Нет;Нет;Нет;Да;Да;Да
Автомобили;Создать авто;guest;Нет;Да;Да;Да;Да;Да
Автомобили;Обновить своё авто;guest;Нет;Да;Да;Да;Да;Да
Автомобили;Обновить авто по id;moderator;Нет;Нет;Нет;Нет;Да;Да
Автомобили;Включить владельца в ответе;member;Нет;Нет;Нет;Да;Да;Да
События/Гид;Список событий;member;Нет;Нет;Нет;Да;Да;Да
События/Гид;Создать событие;moderator;Нет;Нет;Нет;Нет;Да;Да
События/Гид;Список гид-объектов;member;Нет;Нет;Нет;Да;Да;Да
События/Гид;Создать гид-объект;moderator;Нет;Нет;Нет;Нет;Да;Да
Бизнес-карты/Фото;Список бизнес-карт;member;Нет;Нет;Нет;Да;Да;Да
Бизнес-карты/Фото;Создать бизнес-карту;member;Нет;Нет;Нет;Да;Да;Да
Бизнес-карты/Фото;Список фото;member;Нет;Нет;Нет;Да;Да;Да
Бизнес-карты/Фото;Загрузка фото;user;Нет;Нет;Да;Да;Да;Да
Справочники/Система;Бренды авто;guest;Нет;Да;Да;Да;Да;Да
Справочники/Система;Health/Status;external;Да;Да;Да;Да;Да;Да
Карта;Отправка своих координат;user;Нет;Нет;Да;Да;Да;Да
Карта;Просмотр онлайна на карте;member;Нет;Нет;Нет;Да;Да;Да
L3-действия (OCR);Проверить авто в клубе;user;Нет;Нет;Да;Да;Да;Да
L3-действия (OCR);Оставить визитку;member;Нет;Нет;Нет;Да;Да;Да
L3-действия (OCR);Добавить авто в гараж;guest;Нет;Да;Да;Да;Да;Да
